Tavola 5.29 - Mobilità ospedaliera interregionale per Tumore - Attività per Acuti in Regime diurno - Anno 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIONE DI RICOVERO,REGIONE DI RESIDENZA,,,,,,,,,,,,,,,,,,,,,,TOTALE RICOVERI EROGATI,,MOBILITÀ ATTIVA,,,RESIDENTI ALL'ESTERO,,CODICE RESIDENZA ERRATO
,Piemonte,Valle d'Aosta,Lombardia,P.A. Bolzano,P.A. Trento,Veneto,Friuli V.G.,Liguria,Emilia Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna,,,,Dimissioni,%,,,,
Abruzzo, 2 , - , 7 , - , - , 2 , - , - , 3 , 2 , 1 , 17 , 341 ," 3,227 ", 98 , 20 , 34 , 1 , 2 , 5 , 1 ,," 3,763 ",, 536 , 14.2 ,, 1 ,, - 
Molise, - , - , 3 , - , - , 1 , - , - , - , 1 , 1 , - , 36 , 22 ," 1,185 ", 117 , 40 , 3 , 4 , - , - ,," 1,413 ",, 228 , 16.1 ,, 1 ,, - 
Campania, 5 , - , 15 , - , - , 2 , 1 , 3 , 5 , 10 , 4 , 5 , 106 , 10 , 23 ," 17,527 ", 22 , 51 , 31 , 12 , 2 ,," 17,834 ",, 307 , 1.7 ,, 48 ,, - 
Puglia, 3 , - , 14 , - , - , 1 , - , 1 , 6 , 2 , - , - , 6 , 9 , 14 , 52 ," 5,527 ", 50 , 31 , 2 , - ,," 5,718 ",, 191 , 3.3 ,, 11 ,, - 
Basilicata, 2 , - , 5 , - , - , - , 1 , - , 1 , 1 , - , - , 4 , 1 , 4 , 467 , 100 ," 1,871 ", 68 , 1 , - ,," 2,526 ",, 655 , 25.9 ,, - ,, - 
Calabria, 5 , - , 6 , - , - , 1 , - , - , 1 , 3 , - , 1 , 5 , - , - , 1 , 4 , 3 ," 3,424 ", 36 , - ,," 3,490 ",, 66 , 1.9 ,, 12 ,, - 
Sicilia, 5 , - , 11 , - , - , 3 , 1 , 1 , 4 , 3 , - , - , 13 , - , - , 4 , 2 , 1 , 107 ," 9,328 ", - ,," 9,483 ",, 155 , 1.6 ,, 19 ,, - 
Sardegna, 15 , 1 , 9 , 1 , 1 , 3 , 1 , 5 , 6 , 3 , - , 1 , 10 , 1 , - , 1 , 2 , - , 1 , 1 ," 7,479 ",," 7,541 ",, 62 , 0.8 ,, 13 ,, - 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTALE RESIDENTI," 11,282 ", 841 ," 17,894 ", 992 ," 1,374 "," 11,574 "," 3,536 "," 5,819 "," 10,926 "," 7,959 "," 3,263 "," 5,092 "," 18,500 "," 3,777 "," 1,447 "," 19,405 "," 6,646 "," 2,136 "," 4,422 "," 10,330 "," 7,836 ",," 155,051 ",," 12,757 ", 8.2 ,, 834 ,, - 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOBILITÀ PASSIVA, 737 , 46 , 898 , 53 , 265 , 598 , 183 , 434 , 777 , 569 , 334 , 408 ," 1,024 ", 550 , 262 ," 1,878 "," 1,119 ", 265 , 998 ," 1,002 ", 357 ,," 12,757 ",,,,,,,
%, 6.5 , 5.5 , 5.0 , 5.3 , 19.3 , 5.2 , 5.2 , 7.5 , 7.1 , 7.1 , 10.2 , 8.0 , 5.5 , 14.6 , 18.1 , 9.7 , 16.8 , 12.4 , 22.6 , 9.7 , 4.6 ,, 8.2 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALDO RICOVERI (a),  360 ,  9 ,"- 1,654 ",- 43 ,  220 ,"- 1,207 ",- 176 ,- 151 ,- 137 ,- 535 ,- 36 ,- 15 ,- 866 ,  14 ,  34 ,"  1,571 ",  928 ,- 390 ,  932 ,  847 ,  295 ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sono stati considerati i ricoveri da strutture pubbliche e private accreditate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) il saldo ricoveri è calcolato come differenza fra il numero di residenti nella regione ricoverati altrove (mobilità passiva) ed il numero di ricoveri erogati a pazienti residenti in altre regioni (mobilità attiva).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sono stati considerati i ricoveri con diagnosi principale di tumore magligno (cod. ICD-9-CM 140-208), carcinoma in situ (cod. ICD-9-CM 230-234) e tumore di comportamento incerto (cod. ICD-9-CM 235-239).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
