Sex,cause_code,communicable_code,cause_group,cause,cause_detail,deaths_thousands,deaths,ratio16,italy2000,italy200tot,ratio
Persons,750,Noncommunicable diseases,Malignant neoplasms,Bladder cancer,All,6.421656523,6421.656523,0.01003696,5.381451887,5381.451887,0.00960164
Persons,621,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,Lip and oral cavity,1.914470877,1914.470877,0.002992291,1.721668544,1721.668544,0.003071818
Persons,622,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,Nasopharynx,0.217027981,217.027981,0.000339212,0.268844971,268.8449709,0.000479676
Persons,623,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,Other pharynx,1.084067026,1084.067026,0.001694382,1.088712367,1088.712367,0.001942491
Persons,1150,Noncommunicable diseases,Cardiovascular diseases,"Cardiomyopathy, myocarditis, endocarditis",All,5.622063212,5622.063212,0.008787206,4.821353655,4821.353655,0.008602307
Persons,1610,Injuries,Intentional injuries,Self-harm,All,4.885749744,4885.749744,0.007636359,4.474777638,4474.777638,0.007983943
Persons,1010,Noncommunicable diseases,Neurological conditions,Other neurological conditions,All,5.317698312,5317.698312,0.008311488,3.715846889,3715.846889,0.006629851
Persons,752,Noncommunicable diseases,Malignant neoplasms,Gallbladder and biliary tract cancer,All,3.75209902,3752.09902,0.005864478,3.493420381,3493.420381,0.006232995
Persons,661,Noncommunicable diseases,Malignant neoplasms,Liver cancer,Liver cancer secondary to hepatitis B,1.650890302,1650.890302,0.002580319,1.570418938,1570.418938,0.002801957
Persons,662,Noncommunicable diseases,Malignant neoplasms,Liver cancer,Liver cancer secondary to hepatitis C,5.813846127,5813.846127,0.00908696,5.386949433,5386.949433,0.009611448
Persons,663,Noncommunicable diseases,Malignant neoplasms,Liver cancer,Liver cancer secondary to alcohol use,2.001251369,2001.251369,0.003127928,2.834783789,2834.783789,0.005057849
Persons,664,Noncommunicable diseases,Malignant neoplasms,Liver cancer,Other liver cancer,0.519248958,519.2489579,0.000811579,0.437375794,437.3757938,0.00078037
Persons,745,Noncommunicable diseases,Malignant neoplasms,Kidney cancer,All,4.03310074,4033.10074,0.00630368,3.341675205,3341.675205,0.00596225
Persons,751,Noncommunicable diseases,Malignant neoplasms,Brain and nervous system cancers,All,4.568610677,4568.610677,0.007140675,3.22515021,3225.15021,0.005754345
Persons,620,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,All,3.215565884,3215.565884,0.005025885,3.079225882,3079.225882,0.005493985
Persons,691,Noncommunicable diseases,Malignant neoplasms,Melanoma and other skin cancers,Malignant skin melanoma,2.201025618,2201.025618,0.003440172,1.553836844,1553.836844,0.002772371
Persons,692,Noncommunicable diseases,Malignant neoplasms,Melanoma and other skin cancers,Non-melanoma skin cancer,0.992771797,992.7717974,0.001551688,0.6306661,630.6661,0.001125241
Persons,960,Noncommunicable diseases,Neurological conditions,Parkinson disease,All,6.435101518,6435.101518,0.010057974,2.91482387,2914.82387,0.005200658
Persons,730,Noncommunicable diseases,Malignant neoplasms,Ovary cancer,All,3.282755109,3282.755109,0.0051309,2.900795444,2900.795444,0.005175628
Persons,814,Noncommunicable diseases,"Endocrine, blood, immune disorders","Other endocrine, blood and immune disorders",All,5.429562967,5429.562967,0.008486331,2.765869729,2765.869729,0.004934892
Persons,690,Noncommunicable diseases,Malignant neoplasms,Melanoma and other skin cancers,All,3.193797415,3193.797415,0.004991861,2.184502944,2184.502944,0.003897612
Persons,630,Noncommunicable diseases,Malignant neoplasms,Oesophagus cancer,All,2.041311759,2041.311759,0.003190542,2.168908896,2168.908896,0.003869789
Persons,1242,Noncommunicable diseases,Digestive diseases,Paralytic ileus and intestinal obstruction,All,2.75188581,2751.88581,0.004301159,2.124051336,2124.051336,0.003789753
Persons,1300,Noncommunicable diseases,Genitourinary diseases,Other urinary diseases,All,2.195967671,2195.967671,0.003432267,2.088675408,2088.675408,0.003726635
Persons,753,Noncommunicable diseases,Malignant neoplasms,Larynx cancer,All,1.690748478,1690.748478,0.002642616,2.028402632,2028.402632,0.003619096
Persons,185,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,All,2.088390825,2088.390825,0.003264126,1.996684568,1996.684568,0.003562504
Persons,1220,Noncommunicable diseases,Digestive diseases,Peptic ulcer disease,All,0.669532145,669.5321446,0.001046469,1.825814645,1825.814645,0.003257637
Persons,1590,Injuries,Unintentional injuries,Other unintentional injuries,All,10.20152014,10201.52014,0.015944834,1.790940854,1790.940854,0.003195414
Persons,720,Noncommunicable diseases,Malignant neoplasms,Corpus uteri cancer,All,2.175780105,2175.780105,0.003400714,1.720006056,1720.006056,0.003068852
Persons,1110,Noncommunicable diseases,Cardiovascular diseases,Rheumatic heart disease,All,2.232758631,2232.758631,0.003489771,1.700540154,1700.540154,0.003034121
Persons,813,Noncommunicable diseases,"Endocrine, blood, immune disorders",Other haemoglobinopathies and haemolytic anaemias,All,2.338492939,2338.492939,0.003655032,1.349477006,1349.477006,0.00240775
Persons,761,Noncommunicable diseases,Malignant neoplasms,"Lymphomas, multiple myeloma",Hodgkin lymphoma,0.478734407,478.7344069,0.000748255,0.401112519,401.1125192,0.000715669
Persons,762,Noncommunicable diseases,Malignant neoplasms,"Lymphomas, multiple myeloma",Non-Hodgkin lymphoma,5.468919526,5468.919526,0.008547845,5.224180733,5224.180733,0.009321035
Persons,763,Noncommunicable diseases,Malignant neoplasms,"Lymphomas, multiple myeloma",Multiple myeloma,3.864710219,3864.710219,0.006040488,2.751272894,2751.272894,0.004908848
Persons,1246,Noncommunicable diseases,Digestive diseases,Gallbladder and biliary diseases,All,2.160656282,2160.656282,0.003377076,1.32450689,1324.50689,0.002363198
Persons,1390,Noncommunicable diseases,Musculoskeletal diseases,Other musculoskeletal disorders,All,2.288378525,2288.378525,0.003576704,1.221302919,1221.302919,0.002179061
Persons,710,Noncommunicable diseases,Malignant neoplasms,Cervix uteri cancer,All,1.152819105,1152.819105,0.00180184,1.202180729,1202.180729,0.002144943
Persons,1190,Noncommunicable diseases,Respiratory diseases,Asthma,All,0.474870454,474.870454,0.000742216,1.147295907,1147.295907,0.002047017
Persons,810,Noncommunicable diseases,"Endocrine, blood, immune disorders",All,All,7.873255251,7873.255251,0.012305788,4.216193736,4216.193736,0.007522575
Persons,100,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,HIV/AIDS,All,0.802461596,802.4615956,0.001254236,1.038653373,1038.653373,0.001853176
Persons,870,Noncommunicable diseases,Mental and substance use disorders,Drug use disorders,All,0.716113181,716.1131812,0.001119275,1.028883198,1028.883198,0.001835744
Persons,1248,Noncommunicable diseases,Digestive diseases,Pancreatitis,All,1.10305464,1103.05464,0.001724059,1.017746218,1017.746218,0.001815873
Persons,500,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,Preterm birth complications,All,0.408346804,408.3468038,0.00063824,0.904139112,904.1391116,0.001613174
Persons,820,Noncommunicable diseases,Mental and substance use disorders,All,All,1.733521993,1733.521993,0.002709471,1.554924813,1554.924813,0.002774312
Persons,1440,Noncommunicable diseases,Congenital anomalies,Congenital heart anomalies,All,0.510720263,510.7202633,0.000798249,0.800143465,800.1434652,0.001427624
Persons,831,Noncommunicable diseases,Mental and substance use disorders,Depressive disorders,Major depressive disorder,0,0,0,0,0,0
Persons,832,Noncommunicable diseases,Mental and substance use disorders,Depressive disorders,Dysthymia,0,0,0,0,0,0
Persons,1620,Injuries,Intentional injuries,Interpersonal violence,All,0.484808246,484.8082465,0.000757749,0.7682954,768.2954004,0.0013708
Persons,580,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Iron-deficiency anaemia,All,1.417810277,1417.810277,0.002216018,0.765198959,765.1989589,0.001365276
Persons,1330,Noncommunicable diseases,Skin diseases,Skin diseases,All,1.275288082,1275.288082,0.001993257,0.764194272,764.1942716,0.001363483
Persons,370,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Other infectious diseases,All,5.598252451,5598.252451,0.008749991,0.646074004,646.0740043,0.001152732
Persons,871,Noncommunicable diseases,Mental and substance use disorders,Drug use disorders,Opioid use disorders,0.455875855,455.8758551,0.000712528,0.916846133,916.8461331,0.001635846
Persons,872,Noncommunicable diseases,Mental and substance use disorders,Drug use disorders,Cocaine use disorders,0.012975198,12.97519828,2.02801E-05,0.009879544,9.879544364,1.76272E-05
Persons,873,Noncommunicable diseases,Mental and substance use disorders,Drug use disorders,Amphetamine use disorders,0.0198995,19.89950018,3.11026E-05,0.006576675,6.576675171,1.17342E-05
Persons,874,Noncommunicable diseases,Mental and substance use disorders,Drug use disorders,Cannabis use disorders,0,0,0,0,0,0
Persons,875,Noncommunicable diseases,Mental and substance use disorders,Drug use disorders,Other drug use disorders,0.227362628,227.3626277,0.000355365,0.095580845,95.5808453,0.000170536
Persons,754,Noncommunicable diseases,Malignant neoplasms,Thyroid cancer,All,0.615625103,615.6251032,0.000962213,0.640990438,640.9904375,0.001143661
Persons,1460,Noncommunicable diseases,Congenital anomalies,Other congenital anomalies,All,0.531596736,531.5967358,0.000830878,0.631450071,631.4500712,0.001126639
Persons,1575,Injuries,Unintentional injuries,Exposure to mechanical forces,All,0.382946157,382.9461571,0.00059854,0.615253419,615.2534188,0.001097741
Persons,1244,Noncommunicable diseases,Digestive diseases,Inflammatory bowel disease,All,1.241409165,1241.409165,0.001940305,0.555297215,555.2972148,0.000990767
Persons,911,Noncommunicable diseases,Mental and substance use disorders,Childhood behavioural disorders,Attention deficit/hyperactivity syndrome,0,0,0,0,0,0
Persons,912,Noncommunicable diseases,Mental and substance use disorders,Childhood behavioural disorders,Conduct disorder,0,0,0,0,0,0
Persons,30,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Tuberculosis,All,0.334395131,334.3951312,0.000522655,0.534678385,534.6783851,0.000953978
Persons,1350,Noncommunicable diseases,Musculoskeletal diseases,Rheumatoid arthritis,All,0.583804819,583.8048193,0.000912479,0.512269328,512.2693276,0.000913996
Persons,940,Noncommunicable diseases,Neurological conditions,All,All,48.89241858,48892.41858,0.076418169,21.4961411,21496.1411,0.038353628
Persons,180,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Encephalitis,All,3.697097019,3697.097019,0.005778511,0.484054322,484.0543219,0.000863655
Persons,1570,Injuries,Unintentional injuries,Drowning,All,0.436487671,436.4876707,0.000682224,0.464145356,464.1453558,0.000828133
Persons,970,Noncommunicable diseases,Neurological conditions,Epilepsy,All,1.145426993,1145.426993,0.001790286,0.427694995,427.694995,0.000763098
Persons,1560,Injuries,Unintentional injuries,"Fire, heat and hot substances",All,0.236144413,236.1444127,0.00036909,0.343482171,343.4821713,0.000612844
Persons,980,Noncommunicable diseases,Neurological conditions,Multiple sclerosis,All,0.55038553,550.38553,0.000860245,0.321259934,321.2599338,0.000573195
Persons,510,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,Birth asphyxia and birth trauma,All,0.144441682,144.441682,0.00022576,0.31991711,319.9171102,0.000570799
Persons,1540,Injuries,Unintentional injuries,Poisonings,All,0.158968541,158.9685413,0.000248466,0.302734618,302.734618,0.000540142
Persons,860,Noncommunicable diseases,Mental and substance use disorders,Alcohol use disorders,All,0.356663931,356.6639313,0.000557461,0.299991424,299.9914238,0.000535248
Persons,1100,Noncommunicable diseases,Cardiovascular diseases,All,All,229.801867,229801.867,0.359177114,230.9552336,230955.2336,0.412072613
Persons,1360,Noncommunicable diseases,Musculoskeletal diseases,Osteoarthritis,All,0.421660212,421.6602124,0.000659049,0.27788793,277.8879301,0.00049581
Persons,1290,Noncommunicable diseases,Genitourinary diseases,Urolithiasis,All,0.203184209,203.184209,0.000317574,0.259343105,259.3431054,0.000462723
Persons,1280,Noncommunicable diseases,Genitourinary diseases,Benign prostatic hyperplasia,All,0.240957086,240.9570857,0.000376613,0.205231267,205.2312667,0.000366176
Persons,1241,Noncommunicable diseases,Digestive diseases,Gastritis and duodenitis,All,0.113948805,113.948805,0.0001781,0.196470877,196.4708771,0.000350545
Persons,1141,Noncommunicable diseases,Cardiovascular diseases,Stroke,Ischaemic stroke,32.92345557,32923.45557,0.051458902,39.069646,39069.646,0.069708449
Persons,1142,Noncommunicable diseases,Cardiovascular diseases,Stroke,Haemorrhagic stroke,29.30585867,29305.85867,0.045804649,29.13312359,29133.12359,0.051979607
Persons,170,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Meningitis,All,0.124746579,124.7465793,0.000194977,0.178231125,178.231125,0.000318002
Persons,1450,Noncommunicable diseases,Congenital anomalies,Other chromosomal anomalies,All,0.317424225,317.4242248,0.00049613,0.175905709,175.9057092,0.000313853
Persons,1170,Noncommunicable diseases,Respiratory diseases,All,All,41.31112884,41311.12884,0.064568718,37.16255158,37162.55158,0.066305792
Persons,550,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Protein-energy malnutrition,All,0.621959481,621.9594807,0.000972114,0.129037534,129.0375335,0.00023023
Persons,1430,Noncommunicable diseases,Congenital anomalies,Down syndrome,All,0.265442658,265.4426578,0.000414883,0.127600999,127.6009988,0.000227667
Persons,530,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,Other neonatal conditions,All,0.231730527,231.7305266,0.000362192,0.125023813,125.0238128,0.000223069
Persons,1210,Noncommunicable diseases,Digestive diseases,All,All,26.19848188,26198.48188,0.040947862,25.32026991,25320.26991,0.045176676
Persons,590,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,Other nutritional deficiencies,All,0.232750639,232.7506389,0.000363786,0.123826137,123.8261371,0.000220932
Persons,850,Noncommunicable diseases,Mental and substance use disorders,Schizophrenia,All,0.417291069,417.2910686,0.00065222,0.114140783,114.1407835,0.000203651
Persons,1231,Noncommunicable diseases,Digestive diseases,Cirrhosis of the liver,Cirrhosis due to hepatitis B,1.442894333,1442.894333,0.002255224,2.014455735,2014.455735,0.003594212
Persons,1232,Noncommunicable diseases,Digestive diseases,Cirrhosis of the liver,Cirrhosis due to hepatitis C,4.656312276,4656.312276,0.007277751,5.953481133,5953.481133,0.01062226
Persons,1233,Noncommunicable diseases,Digestive diseases,Cirrhosis of the liver,Cirrhosis due to alcohol use,1.571892186,1571.892186,0.002456846,2.158195263,2158.195263,0.003850673
Persons,1234,Noncommunicable diseases,Digestive diseases,Cirrhosis of the liver,Other liver cirrhosis,1.116049833,1116.049833,0.00174437,1.306908399,1306.908399,0.002331799
Persons,811,Noncommunicable diseases,"Endocrine, blood, immune disorders",Thalassaemias,All,0.104643416,104.6434164,0.000163556,0.10045324,100.4532398,0.00017923
Persons,1580,Injuries,Unintentional injuries,Natural disasters,All,0.249999973,249.9999733,0.000390746,0.097831593,97.83159256,0.000174552
Persons,742,Noncommunicable diseases,Malignant neoplasms,Testicular cancer,All,0.10657287,106.5728699,0.000166572,0.094783783,94.78378325,0.000169114
Persons,920,Noncommunicable diseases,Mental and substance use disorders,Idiopathic intellectual disability,All,0.156324691,156.3246913,0.000244333,0.077065891,77.06589107,0.000137502
Persons,520,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,Neonatal sepsis and infections,All,0.067791307,67.79130745,0.000105957,0.056343388,56.3433876,0.000100528
Persons,1240,Noncommunicable diseases,Digestive diseases,Appendicitis,All,0.045411848,45.41184819,7.09781E-05,0.051901582,51.90158218,9.26033E-05
Persons,1020,Noncommunicable diseases,Sense organ diseases,Sense organ diseases,All,0.068876915,68.87691542,0.000107654,0.046922331,46.92233132,8.37193E-05
Persons,1260,Noncommunicable diseases,Genitourinary diseases,All,All,17.60778991,17607.78991,0.02752073,9.895792404,9895.792404,0.017656171
Persons,1380,Noncommunicable diseases,Musculoskeletal diseases,Back and neck pain,All,0.254782288,254.7822876,0.000398221,0.045478791,45.47879109,8.11437E-05
Persons,1271,Noncommunicable diseases,Genitourinary diseases,Kidney diseases,Acute glomerulonephritis,0.005750334,5.750333504,8.98769E-06,0.004975363,4.975363082,8.87709E-06
Persons,1272,Noncommunicable diseases,Genitourinary diseases,Kidney diseases,Chronic kidney disease due to diabetes,2.781771779,2781.771779,0.004347871,0.997220319,997.2203192,0.00177925
Persons,1273,Noncommunicable diseases,Genitourinary diseases,Kidney diseases,Other chronic kidney disease,12.15253935,12152.53935,0.01899425,6.296467576,6296.467576,0.01123422
Persons,120,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,All,0.02139149,21.39149046,3.34346E-05,0.044975605,44.97560501,8.02459E-05
Persons,1320,Noncommunicable diseases,Genitourinary diseases,Gynecological diseases,All,0.027619485,27.61948481,4.31689E-05,0.043879366,43.879366,7.829E-05
Persons,1410,Noncommunicable diseases,Congenital anomalies,Neural tube defects,All,0.017295709,17.29570932,2.7033E-05,0.04023135,40.23134964,7.17812E-05
Persons,110,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Diarrhoeal diseases,All,1.072292849,1072.292849,0.001675979,0.039023495,39.02349532,6.96261E-05
Persons,1505,Noncommunicable diseases,Sudden infant death syndrome,Sudden infant death syndrome,All,0.018045623,18.0456228,2.82051E-05,0.038326341,38.32634068,6.83822E-05
Persons,420,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,Maternal conditions,All,0.0181956,18.19559979,2.84395E-05,0.02669865,26.69865005,4.7636E-05
Persons,1340,Noncommunicable diseases,Musculoskeletal diseases,All,All,3.570810732,3570.810732,0.005581127,2.066022811,2066.022811,0.003686218
