"TIME","GEO","GEO_LABEL","SEX","UNIT","AGE","TRAINING","WSTATUS","Value"
"2000","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.1"
"2001","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.7"
"2002","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.7"
"2003","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.0"
"2004","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.0"
"2005","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.2"
"2006","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.3"
"2007","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.8"
"2008","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.0"
"2009","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.6"
"2010","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.8"
"2011","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.7"
"2012","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.1"
"2013","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.9"
"2014","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.6"
"2015","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.2"
"2016","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.7"
"2017","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.2"
"2018","EA19","Euro area (19 countries)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.6"
"2000","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.7"
"2001","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.3"
"2002","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.1"
"2003","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.8"
"2004","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.4"
"2005","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.0"
"2006","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.2"
"2007","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.2"
"2008","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.1"
"2009","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.1"
"2010","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.9"
"2011","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.8"
"2012","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.3"
"2013","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.7"
"2014","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.0"
"2015","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.2"
"2016","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.9"
"2017","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.3"
"2018","BE","Belgium","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.2"
"2000","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.5"
"2001","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","26.4"
"2002","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.2"
"2003","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.7"
"2004","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.9"
"2005","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.9"
"2006","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.4"
"2007","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.4"
"2008","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.3"
"2009","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.2"
"2010","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.0"
"2011","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.8"
"2012","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.2"
"2013","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.7"
"2014","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.8"
"2015","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.5"
"2016","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.2"
"2017","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.3"
"2018","BE1","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.3"
"2000","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.5"
"2001","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","26.4"
"2002","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.2"
"2003","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","23.7"
"2004","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.9"
"2005","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.9"
"2006","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.4"
"2007","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.4"
"2008","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.3"
"2009","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.2"
"2010","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.0"
"2011","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.8"
"2012","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","19.2"
"2013","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.7"
"2014","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.8"
"2015","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","17.5"
"2016","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.2"
"2017","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.3"
"2018","BE10","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.3"
"2000","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.9"
"2001","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.3"
"2002","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.1"
"2003","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.3"
"2004","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.8"
"2005","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.3"
"2006","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.1"
"2007","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.5"
"2008","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.3"
"2009","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.3"
"2010","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.5"
"2011","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.5"
"2012","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.2"
"2013","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.5"
"2014","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.8"
"2015","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.5"
"2016","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.5"
"2017","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.2"
"2018","BE2","Vlaams Gewest","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.8"
"2000","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","18.6"
"2001","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.2"
"2002","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.4"
"2003","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.0"
"2004","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.2"
"2005","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.7"
"2006","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.4"
"2007","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.4"
"2008","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.3"
"2009","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.3"
"2010","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.4"
"2011","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.1"
"2012","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.6"
"2013","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.1"
"2014","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.0"
"2015","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.1"
"2016","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.4"
"2017","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.3"
"2018","BE21","Prov. Antwerpen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.3"
"2000","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","15.5"
"2001","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.6"
"2002","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.7"
"2003","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","16.1"
"2004","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.8"
"2005","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.7"
"2006","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.1"
"2007","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.0"
"2008","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","5.4"
"2009","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.3"
"2010","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.9"
"2011","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.0"
"2012","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.7"
"2013","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.7"
"2014","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.3"
"2015","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.2"
"2016","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.2"
"2017","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.2"
"2018","BE22","Prov. Limburg (BE)","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.6"
"2000","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.8"
"2001","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.4"
"2002","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.8"
"2003","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","14.7"
"2004","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.0"
"2005","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.0"
"2006","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.3"
"2007","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.4"
"2008","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.2"
"2009","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.7"
"2010","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.7"
"2011","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.5"
"2012","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.4"
"2013","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.5"
"2014","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.8"
"2015","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.5"
"2016","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.2"
"2017","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","5.9"
"2018","BE23","Prov. Oost-Vlaanderen","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.1"
"2000","BE24","Prov. Vlaams-Brabant","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","9.9"
"2001","BE24","Prov. Vlaams-Brabant","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","12.0"
"2002","BE24","Prov. Vlaams-Brabant","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","10.3"
"2003","BE24","Prov. Vlaams-Brabant","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","13.3"
"2004","BE24","Prov. Vlaams-Brabant","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","11.9"
"2005","BE24","Prov. Vlaams-Brabant","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","7.0"
"2006","BE24","Prov. Vlaams-Brabant","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.6"
"2007","BE24","Prov. Vlaams-Brabant","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","8.2"
"2008","BE24","Prov. Vlaams-Brabant","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","5.4"
"2009","BE24","Prov. Vlaams-Brabant","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","6.8"
"2010","BE24","Prov. Vlaams-Brabant","Total","Percentage","From 15 to 24 years","Neither formal nor non-formal education or training","Not employed persons","5.4"
